"Name","intercept.before","slope.before","intercept.after","slope.after"
"BELLA VISTA",6720.86905548716,-3.00582772990033,12621.1936435346,-5.9637816108703
"SELVA VERDE",5330.26261946884,-2.62032695379592,4377.63449844188,-2.14003128704178
"CAÑAVERAL",30063.1432352197,-14.2379185249999,36732.1505724386,-17.5711887091418
"JACOME",1270.27897352209,-0.622732022969996,1026.6222036153,-0.500716003539281
"VILLA CATALINA-DE PUERTO ROSARIO",161841.353688597,-48.9976878099987,593755.540162803,-263.987160600002
"EL PORVENIR - LA BARRIALOSA",88095.3517515093,-42.7892382459996,79061.8031167925,-38.2566178549774
"BLASIAKU",1723.74111024579,-0.839744697639994,423.258339456357,-0.193516844182551
"YURAYACO",671.890111460095,-0.311366011489998,167.451145498757,-0.068324830684207
"CACHIVERA DE NARE",2903.81829378207,-1.43417071956999,868.947981298798,-0.414414656247664
"INKAL AWA",2528.90396204957,-1.24977734134057,250.058027005581,-0.114278886582606
"AGUA BLANCA",15172.4532813354,-6.98106860062857,27671.073545267,-13.1939763299251
"TUCÁN DE CAÑO GIRIZA Y PUERTO LA PALMA",96183.3602189086,-45.8772881687182,23379.4889866814,-9.64717219619347
"NASSA KIWE",736.710853837294,-0.358542679889997,603.530194211396,-0.2932353704506
"Makankamana",76770.154212294,-38.0487439842771,5795.14114977745,-2.75409740094625
"Chilona - El Salto",5445.01084312078,-2.63808886075828,4826.74185005586,-2.32823233909488
"Nam Misak",-531.964112919961,0.39628401459998,1060.63929187827,-0.397631896500133
"Maiz Blanco",29.5325944228,0,29.532595452642,-5.12678005434552e-10
"Guadualito",16732.2433373009,-8.31252897333993,18009.18086537,-8.86442228516682
"Morrito",182.196293621006,0.245318675599997,-468.086875479545,0.566120006718428
"Vegas De Segovia",7673.63435956309,-3.46154561933111,27305.0693880599,-13.2094671500084
"Perratpu",0,0,0,0
"Resguardo Indigena Natarroco",483.468959267034,-0.239301941215232,1.79271339928407,-3.65954048390315e-16
"Resguardo Indigena Campoalegre",-403.062306774964,0.201973564600113,3.39672012495472,-6.86572950693116e-16
"Resguardo Indigena Gualeras",0,0,0,0
"PAUJIL",73071.4699350927,-10.3977377199963,116589.889744685,-32.1879696371466
"Alto San Jorge",2290.63333868165,-1.09251232098945,1783.24031297298,-0.839744691959996
