"OBJECTID","Name","Yr_Final","Area_sqm","Measure.var","value","forest.yr","Area_ha","value.ha"
329,"PUERTO NARE",2003,187283825.30857,"Forest1990",186273301.072,1990,18728.382530857,18627.3301072
330,"NUEVO HORIZONTE",2003,2351285.15341,"Forest1990",388735.747674,1990,235.128515341,38.8735747674
331,"SAN JOAQUIN",2003,1053926.772213,"Forest1990",918057.9672,1990,105.3926772213,91.80579672
332,"TIERRA ALTA",2000,2330527.4193,"Forest1990",2229569.34891,1990,233.05274193,222.956934891
333,"SAN MIGUEL DE LA CASTELLANA",2002,4795980.11025,"Forest1990",2693787.76604,1990,479.598011025,269.378776604
334,"WITAC'KIWE",2010,774640.895243,"Forest1990",517999.819109,1990,77.4640895243,51.7999819109
335,"SANTA RITA",2002,10595879.724213,"Forest1990",10390189.45,1990,1059.5879724213,1039.018945
336,"INGA DE MOCOA",2003,1059587.9724216,"Forest1990",126433.471331,1990,105.95879724216,12.6433471331
337,"LOS GUADUALES",2003,2461678.5574784,"Forest1990",730294.82694,1990,246.16785574784,73.029482694
338,"EL ESPINGO",2006,18551753.08439,"Forest1990",16632606.2136,1990,1855.175308439,1663.26062136
339,"ISHU AWA",2012,60336128.2924233,"Forest1990",60240831.4223,1990,6033.61282924233,6024.08314223
341,"ZIT-SET DEL QUECAL",2001,7180288.931542,"Forest1990",1055813.83895,1990,718.0288931542,105.581383895
342,"SAN JOSÉ",2000,39754834.9331972,"Forest1990",36934613.6958,1990,3975.48349331972,3693.46136958
343,"LA TEÓFILA",2003,16983600.6265477,"Forest1990",16952464.0254,1990,1698.36006265477,1695.24640254
346,"EL DESCANSO",2004,2500363.425567,"Forest1990",865220.098584,1990,250.0363425567,86.5220098584
347,"LA JULIA",2003,1493613.321766,"Forest1990",1205835.64448,1990,149.3613321766,120.583564448
348,"CHALUAYACO",2000,3702424.93658,"Forest1990",3355204.65711,1990,370.242493658,335.520465711
349,"CENTRO DE MIRAFLORES",2006,7553928.14533,"Forest1990",5712151.01072,1990,755.392814533,571.215101072
350,"JERUSALÉN-SAN LUIS ALTO PICUDITO",2009,48743877.3315177,"Forest1990",41439041.9953,1990,4874.38773315177,4143.90419953
351,"MANDIYACO",2003,15184282.493507,"Forest1990",13883149.9788,1990,1518.4282493507,1388.31499788
352,"LA LIBERTAD 2",2013,17548777.11401,"Forest1990",17548777.114,1990,1754.877711401,1754.8777114
353,"LA FLORESTA - LA ESPAÑOLA",2003,1316229.0485589,"Forest1990",110393.404072,1990,131.62290485589,11.0393404072
354,"REFUGIO DEL SOL",2009,4178909.28749,"Forest1990",2116345.34474,1990,417.890928749,211.634534474
355,"VILLA MARIA DE ANAMÚ",2010,9259836.474925,"Forest1990",9125854.73665,1990,925.9836474925,912.585473665
358,"SAN LUIS",2003,2863623.77231,"Forest1990",1679489.39529,1990,286.362377231,167.948939529
359,"INGA DE CONDAGUA",2006,24822475.84898,"Forest1990",22023955.8791,1990,2482.247584898,2202.39558791
360,"VEGAS DE SANTANA",2000,502903.2852188,"Forest1990",170779.539633,1990,50.29032852188,17.0779539633
362,"LA ARGELIA",2003,2062563.942749,"Forest1990",1858760.73524,1990,206.2563942749,185.876073524
363,"LA PERECERA",2012,64472578.57835,"Forest1990",60099301.4171,1990,6447.257857835,6009.93014171
365,"PLAYA LARGA",2009,6762303.64946,"Forest1990",5465888.80164,1990,676.230364946,546.588880164
366,"PIEDRA SAGRADA LA GRAN FAMILIA DE LOS PASTOS",2006,1250181.7127814,"Forest1990",1211496.84469,1990,125.01817127814,121.149684469
367,"ALPAMANGA",2005,947307.501612,"Forest1990",589708.355088,1990,94.7307501612,58.9708355088
368,"BAJO CASACUENTE",2010,18787636.4264178,"Forest1990",18684791.2893,1990,1878.76364264178,1868.47912893
369,"PUERTO MONFORT",2009,6581145.24278,"Forest1990",6156555.22711,1990,658.114524278,615.655522711
370,"TUKUNARE",2003,33508644.0361763,"Forest1990",30297799.9843,1990,3350.86440361763,3029.77999843
371,"BELLA VISTA",2005,7973800.49415,"Forest1990",7323706.0035,1990,797.380049415,732.37060035
373,"SELVA VERDE",2005,2173900.880198,"Forest1990",1170924.90986,1990,217.3900880198,117.092490986
380,"CAÑAVERAL",2003,19866095.0661963,"Forest1990",17296853.7047,1990,1986.60950661963,1729.68537047
382,"JACOME",2003,2043693.27539,"Forest1990",310422.478118,1990,204.369327539,31.0422478118
383,"VILLA CATALINA-DE PUERTO ROSARIO",2000,644436121.039254,"Forest1990",643359549.467,1990,64443.6121039254,64335.9549467
384,"EL PORVENIR - LA BARRIALOSA",2004,30093053.2435265,"Forest1990",29447676.4197,1990,3009.30532435265,2944.76764197
385,"BLASIAKU",2004,592538.955192,"Forest1990",526491.619422,1990,59.2538955192,52.6491619422
